,PRODUCTO,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MIN
2515,Leche fresca,3.0,Agro-industriales,LITRO
2516,Aji escabeche,2.8,Hortalizas,MALLA
2517,Aceite clasico botella 900 ml,10.65,Agro-industriales,LITRO
2518,Aji rocoto,4.35,Hortalizas,KILOGRAMO
2519,Garbanzo,8.85,Menestras,KILOGRAMO
2520,Frijol castilla,6.4,Menestras,KILOGRAMO
2521,Haba verde serrana,4.8,Legumbres,KILOGRAMO
2522,Limon sutil bolsa,2.4,Frutas,KILOGRAMO
2523,Platano seda congo,3.9,Frutas,KILOGRAMO
2524,Lenteja,9.0,Menestras,KILOGRAMO
2525,Uva red globe,6.4,Frutas,KILOGRAMO
2526,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
2527,Naranja valencia,2.85,Frutas,KILOGRAMO
2528,Palta fuerte,7.75,Frutas,KILOGRAMO
2529,Melon coquito,3.05,Frutas,KILOGRAMO
2530,Vainita americana,5.2,Legumbres,KILOGRAMO
2531,Pallar,10.55,Menestras,KILOGRAMO
2532,Pina criolla,2.45,Frutas,KILOGRAMO
2533,Zapallo macre,3.4,Hortalizas,KILOGRAMO
2534,Olluco largo,3.55,Tuberculos,KILOGRAMO
2535,Yuca blanca,3.65,Tuberculos,KILOGRAMO
2536,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2537,Arroz superior,4.05,Cereales,KILOGRAMO
2538,Fideos nicolini tallarin,6.4,Agro-industriales,KILOGRAMO
2539,Manzana delicia,4.9,Frutas,KILOGRAMO
2540,Arroz extra,4.45,Cereales,KILOGRAMO
2541,Choclo (tipo cusco),7.35,Cereales,UNIDAD
2542,Mango edward,2.5,Frutas,KILOGRAMO
2543,Azucar blanca nacional (granel),5.3,Agro-industriales,KILOGRAMO
2544,Papaya,2.1,Frutas,KILOGRAMO
2545,Leche evaporada (azul) 400 g,3.65,Agro-industriales,LATA
2546,Manzana israel,4.5,Frutas,KILOGRAMO
2547,Ajo criollo o napuri,12.0,Hortalizas,KILOGRAMO
2548,Azucar rubia nacional (granel),4.5,Agro-industriales,KILOGRAMO
2549,Zanahoria,3.4,Hortalizas,KILOGRAMO
2550,Melocoton durazno huayco,8.7,Frutas,KILOGRAMO
2551,Arveja verde blanca serrana,5.6,Legumbres,KILOGRAMO
2552,Uva italia,10.4,Frutas,KILOGRAMO
2553,Papa canchan,2.45,Tuberculos,KILOGRAMO
2554,Papa amarilla,4.95,Tuberculos,KILOGRAMO
2555,Cebolla cabeza roja,2.95,Hortalizas,KILOGRAMO
2556,Camote morado,2.0,Tuberculos,KILOGRAMO
2557,Platano bellaco,3.0,Frutas,LITRO
2558,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2559,Leche fresca,3.0,Agro-industriales,LITRO
2560,Uva alfonso lavalett,6.1,Frutas,KILOGRAMO
2561,Aji escabeche,2.85,Hortalizas,MALLA
2562,Aceite clasico botella 900 ml,10.8,Agro-industriales,LITRO
2563,Aji rocoto,4.35,Hortalizas,KILOGRAMO
2564,Carne fresca de vacuno,22.5,Carnes y huevos,KILOGRAMO
2565,Tomate,4.45,Hortalizas,KILOGRAMO
2566,Carne de pollo (eviscerado),7.9,Carnes y huevos,KILOGRAMO
2567,Sandia,2.4,Frutas,KILOGRAMO
2568,Frijol canario,10.2,Menestras,KILOGRAMO
2569,Limon sutil bolsa,2.4,Frutas,KILOGRAMO
2570,Platano seda congo,4.0,Frutas,KILOGRAMO
2571,Lenteja,9.0,Menestras,KILOGRAMO
2572,Uva red globe,6.4,Frutas,KILOGRAMO
2573,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
2574,Naranja valencia,2.85,Frutas,KILOGRAMO
2575,Palta fuerte,8.6,Frutas,KILOGRAMO
2576,Melon coquito,3.05,Frutas,KILOGRAMO
2577,Vainita americana,5.2,Legumbres,KILOGRAMO
2578,Pallar,10.6,Menestras,KILOGRAMO
2579,Pina criolla,2.45,Frutas,KILOGRAMO
2580,Zapallo macre,3.4,Hortalizas,KILOGRAMO
2581,Olluco largo,3.55,Tuberculos,KILOGRAMO
2582,Yuca blanca,3.65,Tuberculos,KILOGRAMO
2583,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2584,Arroz superior,4.05,Cereales,KILOGRAMO
2585,Fideos nicolini tallarin,6.65,Agro-industriales,KILOGRAMO
2586,Manzana delicia,5.3,Frutas,KILOGRAMO
2587,Arroz extra,4.45,Cereales,KILOGRAMO
2588,Choclo (tipo cusco),7.4,Cereales,UNIDAD
2589,Mango edward,2.5,Frutas,KILOGRAMO
2590,Azucar blanca nacional (granel),5.5,Agro-industriales,KILOGRAMO
2591,Papaya,2.1,Frutas,KILOGRAMO
2592,Leche evaporada (azul) 400 g,3.8,Agro-industriales,LATA
2593,Manzana israel,4.5,Frutas,KILOGRAMO
2594,Ajo criollo o napuri,12.0,Hortalizas,KILOGRAMO
2595,Azucar rubia nacional (granel),4.55,Agro-industriales,KILOGRAMO
2596,Zanahoria,3.4,Hortalizas,KILOGRAMO
2597,Melocoton durazno huayco,8.7,Frutas,KILOGRAMO
2598,Arveja verde blanca serrana,5.75,Legumbres,KILOGRAMO
2599,Uva italia,10.35,Frutas,KILOGRAMO
2600,Papa canchan,2.45,Tuberculos,KILOGRAMO
2601,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2602,Cebolla cabeza roja,2.75,Hortalizas,KILOGRAMO
2603,Camote morado,2.0,Tuberculos,KILOGRAMO
2604,Platano bellaco,3.0,Frutas,LITRO
2605,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2606,Leche fresca,3.0,Agro-industriales,LITRO
2607,Uva alfonso lavalett,6.3,Frutas,KILOGRAMO
2608,Aji escabeche,2.85,Hortalizas,MALLA
2609,Aceite clasico botella 900 ml,10.8,Agro-industriales,LITRO
2610,Aji rocoto,4.35,Hortalizas,KILOGRAMO
2611,Carne fresca de vacuno,23.0,Carnes y huevos,KILOGRAMO
2612,Tomate,4.45,Hortalizas,KILOGRAMO
2613,Carne de pollo (eviscerado),8.5,Carnes y huevos,KILOGRAMO
2614,Sandia,2.4,Frutas,KILOGRAMO
2615,Frijol canario,10.2,Menestras,KILOGRAMO
2616,Garbanzo,8.95,Menestras,KILOGRAMO
2617,Frijol castilla,6.4,Menestras,KILOGRAMO
2618,Haba verde serrana,4.8,Legumbres,KILOGRAMO
2619,Palta fuerte,8.6,Frutas,KILOGRAMO
2620,Melon coquito,3.05,Frutas,KILOGRAMO
2621,Vainita americana,5.25,Legumbres,KILOGRAMO
2622,Pallar,10.5,Menestras,KILOGRAMO
2623,Pina criolla,2.45,Frutas,KILOGRAMO
2624,Zapallo macre,3.4,Hortalizas,KILOGRAMO
2625,Olluco largo,3.7,Tuberculos,KILOGRAMO
2626,Yuca blanca,4.65,Tuberculos,KILOGRAMO
2627,Chirimoya cumbe,10.66,Frutas,KILOGRAMO
2628,Arroz superior,4.05,Cereales,KILOGRAMO
2629,Fideos nicolini tallarin,6.65,Agro-industriales,KILOGRAMO
2630,Manzana delicia,5.45,Frutas,KILOGRAMO
2631,Arroz extra,4.4,Cereales,KILOGRAMO
2632,Choclo (tipo cusco),7.05,Cereales,UNIDAD
2633,Mango edward,2.5,Frutas,KILOGRAMO
2634,Azucar blanca nacional (granel),5.45,Agro-industriales,KILOGRAMO
2635,Papaya,1.75,Frutas,KILOGRAMO
2636,Leche evaporada (azul) 400 g,3.7,Agro-industriales,LATA
2637,Manzana israel,4.5,Frutas,KILOGRAMO
2638,Ajo criollo o napuri,12.05,Hortalizas,KILOGRAMO
2639,Azucar rubia nacional (granel),4.75,Agro-industriales,KILOGRAMO
2640,Zanahoria,3.4,Hortalizas,KILOGRAMO
2641,Melocoton durazno huayco,8.7,Frutas,KILOGRAMO
2642,Arveja verde blanca serrana,5.75,Legumbres,KILOGRAMO
2643,Uva italia,10.35,Frutas,KILOGRAMO
2644,Papa canchan,2.45,Tuberculos,KILOGRAMO
2645,Papa amarilla,5.25,Tuberculos,KILOGRAMO
2646,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2647,Camote morado,2.45,Tuberculos,KILOGRAMO
2648,Platano bellaco,3.55,Frutas,LITRO
2649,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2650,Leche fresca,3.0,Agro-industriales,LITRO
2651,Uva alfonso lavalett,6.7,Frutas,KILOGRAMO
2652,Aji escabeche,3.25,Hortalizas,MALLA
2653,Aceite clasico botella 900 ml,10.9,Agro-industriales,LITRO
2654,Aji rocoto,3.75,Hortalizas,KILOGRAMO
2655,Carne fresca de vacuno,22.5,Carnes y huevos,KILOGRAMO
2656,Tomate,4.45,Hortalizas,KILOGRAMO
2657,Carne de pollo (eviscerado),8.5,Carnes y huevos,KILOGRAMO
2658,Sandia,2.25,Frutas,KILOGRAMO
2659,Frijol canario,9.95,Menestras,KILOGRAMO
2660,Garbanzo,9.15,Menestras,KILOGRAMO
2661,Frijol castilla,6.15,Menestras,KILOGRAMO
2662,Haba verde serrana,4.8,Legumbres,KILOGRAMO
2663,Platano seda congo,4.0,Frutas,KILOGRAMO
2664,Lenteja,9.0,Menestras,KILOGRAMO
2665,Uva red globe,7.4,Frutas,KILOGRAMO
2666,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
2667,Naranja valencia,2.85,Frutas,KILOGRAMO
2668,Limon sutil bolsa,2.4,Frutas,KILOGRAMO
2669,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2670,Arroz superior,4.1,Cereales,KILOGRAMO
2671,Fideos nicolini tallarin,6.65,Agro-industriales,KILOGRAMO
2672,Manzana delicia,5.3,Frutas,KILOGRAMO
2673,Arroz extra,4.4,Cereales,KILOGRAMO
2674,Choclo (tipo cusco),7.05,Cereales,UNIDAD
2675,Mango edward,2.5,Frutas,KILOGRAMO
2676,Azucar blanca nacional (granel),5.45,Agro-industriales,KILOGRAMO
2677,Papaya,1.75,Frutas,KILOGRAMO
2678,Leche evaporada (azul) 400 g,3.7,Agro-industriales,LATA
2679,Manzana israel,4.45,Frutas,KILOGRAMO
2680,Ajo criollo o napuri,12.4,Hortalizas,KILOGRAMO
2681,Azucar rubia nacional (granel),4.7,Agro-industriales,KILOGRAMO
2682,Zanahoria,3.4,Hortalizas,KILOGRAMO
2683,Melocoton durazno huayco,8.55,Frutas,KILOGRAMO
2684,Arveja verde blanca serrana,5.75,Legumbres,KILOGRAMO
2685,Uva italia,10.35,Frutas,KILOGRAMO
2686,Papa canchan,2.45,Tuberculos,KILOGRAMO
2687,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2688,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2689,Camote morado,2.45,Tuberculos,KILOGRAMO
2690,Platano bellaco,3.5,Frutas,LITRO
2691,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2692,Leche fresca,3.2,Agro-industriales,LITRO
2693,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
2694,Aji escabeche,3.4,Hortalizas,MALLA
2695,Aceite clasico botella 900 ml,10.38,Agro-industriales,LITRO
2696,Aji rocoto,3.75,Hortalizas,KILOGRAMO
2697,Carne fresca de vacuno,22.0,Carnes y huevos,KILOGRAMO
2698,Tomate,4.75,Hortalizas,KILOGRAMO
2699,Carne de pollo (eviscerado),8.5,Carnes y huevos,KILOGRAMO
2700,Sandia,2.25,Frutas,KILOGRAMO
2701,Frijol canario,9.95,Menestras,KILOGRAMO
2702,Garbanzo,9.15,Menestras,KILOGRAMO
2703,Frijol castilla,6.35,Menestras,KILOGRAMO
2704,Haba verde serrana,4.8,Legumbres,KILOGRAMO
2705,Platano seda congo,4.0,Frutas,KILOGRAMO
2706,Vainita americana,5.25,Legumbres,KILOGRAMO
2707,Lenteja,9.0,Menestras,KILOGRAMO
2708,Uva red globe,7.4,Frutas,KILOGRAMO
2709,Huevos rosados,10.1,Carnes y huevos,KILOGRAMO
2710,Naranja valencia,2.75,Frutas,KILOGRAMO
2711,Limon sutil bolsa,2.25,Frutas,KILOGRAMO
2712,Melon coquito,3.05,Frutas,KILOGRAMO
2713,Pallar,10.5,Menestras,KILOGRAMO
2714,Pina criolla,2.45,Frutas,KILOGRAMO
2715,Zapallo macre,3.4,Hortalizas,KILOGRAMO
2716,Olluco largo,3.7,Tuberculos,KILOGRAMO
2717,Yuca blanca,4.65,Tuberculos,KILOGRAMO
2718,Palta fuerte,8.6,Frutas,KILOGRAMO
2719,Ajo criollo o napuri,12.35,Hortalizas,KILOGRAMO
2720,Azucar rubia nacional (granel),4.7,Agro-industriales,KILOGRAMO
2721,Zanahoria,3.45,Hortalizas,KILOGRAMO
2722,Melocoton durazno huayco,8.65,Frutas,KILOGRAMO
2723,Arveja verde blanca serrana,5.75,Legumbres,KILOGRAMO
2724,Uva italia,10.45,Frutas,KILOGRAMO
2725,Papa canchan,2.45,Tuberculos,KILOGRAMO
2726,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2727,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2728,Camote morado,2.45,Tuberculos,KILOGRAMO
2729,Platano bellaco,3.55,Frutas,LITRO
2730,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2731,Leche fresca,3.25,Agro-industriales,LITRO
2732,Uva alfonso lavalett,6.65,Frutas,KILOGRAMO
2733,Aji escabeche,3.4,Hortalizas,MALLA
2734,Aceite clasico botella 900 ml,11.2,Agro-industriales,LITRO
2735,Aji rocoto,3.75,Hortalizas,KILOGRAMO
2736,Carne fresca de vacuno,22.5,Carnes y huevos,KILOGRAMO
2737,Tomate,4.75,Hortalizas,KILOGRAMO
2738,Carne de pollo (eviscerado),9.75,Carnes y huevos,KILOGRAMO
2739,Sandia,2.25,Frutas,KILOGRAMO
2740,Frijol canario,9.95,Menestras,KILOGRAMO
2741,Garbanzo,9.15,Menestras,KILOGRAMO
2742,Frijol castilla,6.8,Menestras,KILOGRAMO
2743,Haba verde serrana,5.0,Legumbres,KILOGRAMO
2744,Platano seda congo,4.0,Frutas,KILOGRAMO
2745,Vainita americana,5.25,Legumbres,KILOGRAMO
2746,Lenteja,9.0,Menestras,KILOGRAMO
2747,Uva red globe,7.25,Frutas,KILOGRAMO
2748,Huevos rosados,10.15,Carnes y huevos,KILOGRAMO
2749,Naranja valencia,2.75,Frutas,KILOGRAMO
2750,Limon sutil bolsa,2.35,Frutas,KILOGRAMO
2751,Melon coquito,3.05,Frutas,KILOGRAMO
2752,Pallar,10.45,Menestras,KILOGRAMO
2753,Pina criolla,2.45,Frutas,KILOGRAMO
2754,Zapallo macre,3.35,Hortalizas,KILOGRAMO
2755,Olluco largo,3.7,Tuberculos,KILOGRAMO
2756,Yuca blanca,4.65,Tuberculos,KILOGRAMO
2757,Palta fuerte,8.6,Frutas,KILOGRAMO
2758,Arroz superior,4.05,Cereales,KILOGRAMO
2759,Fideos nicolini tallarin,6.65,Agro-industriales,KILOGRAMO
2760,Manzana delicia,5.55,Frutas,KILOGRAMO
2761,Arroz extra,4.4,Cereales,KILOGRAMO
2762,Choclo (tipo cusco),7.05,Cereales,UNIDAD
2763,Mango edward,2.5,Frutas,KILOGRAMO
2764,Azucar blanca nacional (granel),5.4,Agro-industriales,KILOGRAMO
2765,Papaya,1.75,Frutas,KILOGRAMO
2766,Leche evaporada (azul) 400 g,3.7,Agro-industriales,LATA
2767,Manzana israel,4.45,Frutas,KILOGRAMO
2768,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2769,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2770,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2771,Camote morado,2.45,Tuberculos,KILOGRAMO
2772,Platano bellaco,3.45,Frutas,LITRO
2773,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2774,Leche fresca,3.9,Agro-industriales,LITRO
2775,Uva alfonso lavalett,7.1,Frutas,KILOGRAMO
2776,Aji escabeche,3.15,Hortalizas,MALLA
2777,Aceite clasico botella 900 ml,10.8,Agro-industriales,LITRO
2778,Aji rocoto,3.7,Hortalizas,KILOGRAMO
2779,Carne fresca de vacuno,21.5,Carnes y huevos,KILOGRAMO
2780,Tomate,4.75,Hortalizas,KILOGRAMO
2781,Carne de pollo (eviscerado),9.0,Carnes y huevos,KILOGRAMO
2782,Sandia,2.25,Frutas,KILOGRAMO
2783,Frijol canario,9.95,Menestras,KILOGRAMO
2784,Garbanzo,9.15,Menestras,KILOGRAMO
2785,Frijol castilla,6.75,Menestras,KILOGRAMO
2786,Haba verde serrana,5.0,Legumbres,KILOGRAMO
2787,Platano seda congo,3.9,Frutas,KILOGRAMO
2788,Vainita americana,5.25,Legumbres,KILOGRAMO
2789,Lenteja,9.0,Menestras,KILOGRAMO
2790,Uva red globe,6.5,Frutas,KILOGRAMO
2791,Huevos rosados,10.15,Carnes y huevos,KILOGRAMO
2792,Naranja valencia,2.75,Frutas,KILOGRAMO
2793,Limon sutil bolsa,3.1,Frutas,KILOGRAMO
2794,Melon coquito,3.05,Frutas,KILOGRAMO
2795,Pallar,10.35,Menestras,KILOGRAMO
2796,Pina criolla,2.45,Frutas,KILOGRAMO
2797,Zapallo macre,3.35,Hortalizas,KILOGRAMO
2798,Olluco largo,3.7,Tuberculos,KILOGRAMO
2799,Yuca blanca,4.65,Tuberculos,KILOGRAMO
2800,Palta fuerte,8.6,Frutas,KILOGRAMO
2801,Arroz superior,4.0,Cereales,KILOGRAMO
2802,Fideos nicolini tallarin,6.65,Agro-industriales,KILOGRAMO
2803,Manzana delicia,5.55,Frutas,KILOGRAMO
2804,Arroz extra,4.3,Cereales,KILOGRAMO
2805,Choclo (tipo cusco),7.05,Cereales,UNIDAD
2806,Mango edward,2.5,Frutas,KILOGRAMO
2807,Azucar blanca nacional (granel),5.4,Agro-industriales,KILOGRAMO
2808,Papaya,1.75,Frutas,KILOGRAMO
2809,Leche evaporada (azul) 400 g,3.7,Agro-industriales,LATA
2810,Manzana israel,4.45,Frutas,KILOGRAMO
2811,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2812,Ajo criollo o napuri,12.45,Hortalizas,KILOGRAMO
2813,Azucar rubia nacional (granel),4.7,Agro-industriales,KILOGRAMO
2814,Zanahoria,3.45,Hortalizas,KILOGRAMO
2815,Melocoton durazno huayco,8.4,Frutas,KILOGRAMO
2816,Arveja verde blanca serrana,5.7,Legumbres,KILOGRAMO
2817,Uva italia,10.35,Frutas,KILOGRAMO
2818,Papa canchan,2.45,Tuberculos,KILOGRAMO
2819,Uva alfonso lavalett,7.1,Frutas,KILOGRAMO
2820,Aji escabeche,3.15,Hortalizas,MALLA
2821,Aceite clasico botella 900 ml,10.5,Agro-industriales,LITRO
2822,Aji rocoto,3.55,Hortalizas,KILOGRAMO
2823,Carne fresca de vacuno,19.5,Carnes y huevos,KILOGRAMO
2824,Tomate,4.75,Hortalizas,KILOGRAMO
2825,Carne de pollo (eviscerado),9.2,Carnes y huevos,KILOGRAMO
2826,Sandia,2.25,Frutas,KILOGRAMO
2827,Frijol canario,9.95,Menestras,KILOGRAMO
2828,Garbanzo,9.15,Menestras,KILOGRAMO
2829,Frijol castilla,6.7,Menestras,KILOGRAMO
2830,Haba verde serrana,5.0,Legumbres,KILOGRAMO
2831,Platano seda congo,3.9,Frutas,KILOGRAMO
2832,Vainita americana,5.25,Legumbres,KILOGRAMO
2833,Lenteja,9.0,Menestras,KILOGRAMO
2834,Uva red globe,6.5,Frutas,KILOGRAMO
2835,Huevos rosados,10.55,Carnes y huevos,KILOGRAMO
2836,Naranja valencia,2.75,Frutas,KILOGRAMO
2837,Limon sutil bolsa,3.05,Frutas,KILOGRAMO
2838,Melon coquito,3.05,Frutas,KILOGRAMO
2839,Pallar,10.55,Menestras,KILOGRAMO
2840,Pina criolla,2.35,Frutas,KILOGRAMO
2841,Zapallo macre,3.35,Hortalizas,KILOGRAMO
2842,Olluco largo,3.4,Tuberculos,KILOGRAMO
2843,Yuca blanca,4.11,Tuberculos,KILOGRAMO
2844,Palta fuerte,8.55,Frutas,KILOGRAMO
2845,Fideos nicolini tallarin,6.55,Agro-industriales,KILOGRAMO
2846,Manzana delicia,5.5,Frutas,KILOGRAMO
2847,Arroz extra,4.35,Cereales,KILOGRAMO
2848,Choclo (tipo cusco),7.05,Cereales,UNIDAD
2849,Mango edward,2.5,Frutas,KILOGRAMO
2850,Azucar blanca nacional (granel),5.5,Agro-industriales,KILOGRAMO
2851,Papaya,1.75,Frutas,KILOGRAMO
2852,Leche evaporada (azul) 400 g,3.7,Agro-industriales,LATA
2853,Manzana israel,4.45,Frutas,KILOGRAMO
2854,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2855,Arroz superior,3.9,Cereales,KILOGRAMO
2856,Ajo criollo o napuri,12.29,Hortalizas,KILOGRAMO
2857,Azucar rubia nacional (granel),4.7,Agro-industriales,KILOGRAMO
2858,Zanahoria,3.4,Hortalizas,KILOGRAMO
2859,Melocoton durazno huayco,8.25,Frutas,KILOGRAMO
2860,Arveja verde blanca serrana,5.65,Legumbres,KILOGRAMO
2861,Uva italia,10.35,Frutas,KILOGRAMO
2862,Papa canchan,2.45,Tuberculos,KILOGRAMO
2863,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2864,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2865,Camote morado,2.35,Tuberculos,KILOGRAMO
2866,Platano bellaco,3.2,Frutas,LITRO
2867,Carne de porcino (corte unico),19.25,Carnes y huevos,KILOGRAMO
2868,Leche fresca,3.9,Agro-industriales,LITRO
2869,Carne fresca de vacuno,19.5,Carnes y huevos,KILOGRAMO
2870,Tomate,4.7,Hortalizas,KILOGRAMO
2871,Carne de pollo (eviscerado),10.15,Carnes y huevos,KILOGRAMO
2872,Sandia,2.15,Frutas,KILOGRAMO
2873,Frijol canario,9.95,Menestras,KILOGRAMO
2874,Garbanzo,9.15,Menestras,KILOGRAMO
2875,Frijol castilla,6.7,Menestras,KILOGRAMO
2876,Haba verde serrana,5.0,Legumbres,KILOGRAMO
2877,Platano seda congo,3.7,Frutas,KILOGRAMO
2878,Vainita americana,5.25,Legumbres,KILOGRAMO
2879,Lenteja,9.0,Menestras,KILOGRAMO
2880,Uva red globe,6.5,Frutas,KILOGRAMO
2881,Huevos rosados,10.5,Carnes y huevos,KILOGRAMO
2882,Naranja valencia,2.6,Frutas,KILOGRAMO
2883,Limon sutil bolsa,3.65,Frutas,KILOGRAMO
2884,Melon coquito,3.05,Frutas,KILOGRAMO
2885,Pallar,10.35,Menestras,KILOGRAMO
2886,Pina criolla,2.35,Frutas,KILOGRAMO
2887,Zapallo macre,3.35,Hortalizas,KILOGRAMO
2888,Olluco largo,3.25,Tuberculos,KILOGRAMO
2889,Yuca blanca,4.11,Tuberculos,KILOGRAMO
2890,Palta fuerte,8.55,Frutas,KILOGRAMO
2891,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
2892,Manzana delicia,5.6,Frutas,KILOGRAMO
2893,Arroz extra,4.35,Cereales,KILOGRAMO
2894,Choclo (tipo cusco),6.65,Cereales,UNIDAD
2895,Mango edward,2.65,Frutas,KILOGRAMO
2896,Azucar blanca nacional (granel),5.35,Agro-industriales,KILOGRAMO
2897,Papaya,1.75,Frutas,KILOGRAMO
2898,Leche evaporada (azul) 400 g,3.9,Agro-industriales,LATA
2899,Manzana israel,4.45,Frutas,KILOGRAMO
2900,Chirimoya cumbe,10.05,Frutas,KILOGRAMO
2901,Arroz superior,3.9,Cereales,KILOGRAMO
2902,Ajo criollo o napuri,12.1,Hortalizas,KILOGRAMO
2903,Azucar rubia nacional (granel),4.7,Agro-industriales,KILOGRAMO
2904,Zanahoria,3.4,Hortalizas,KILOGRAMO
2905,Melocoton durazno huayco,8.35,Frutas,KILOGRAMO
2906,Arveja verde blanca serrana,5.5,Legumbres,KILOGRAMO
2907,Uva italia,10.35,Frutas,KILOGRAMO
2908,Papa canchan,2.35,Tuberculos,KILOGRAMO
2909,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2910,Aceite clasico botella 900 ml,10.5,Agro-industriales,LITRO
2911,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2912,Camote morado,2.0,Tuberculos,KILOGRAMO
2913,Platano bellaco,3.2,Frutas,LITRO
2914,Carne de porcino (corte unico),19.5,Carnes y huevos,KILOGRAMO
2915,Leche fresca,3.9,Agro-industriales,LITRO
2916,Uva alfonso lavalett,7.1,Frutas,KILOGRAMO
2917,Aji escabeche,3.15,Hortalizas,MALLA
2918,Aji rocoto,3.4,Hortalizas,KILOGRAMO
2919,Garbanzo,9.15,Menestras,KILOGRAMO
2920,Frijol castilla,6.65,Menestras,KILOGRAMO
2921,Haba verde serrana,6.4,Legumbres,KILOGRAMO
2922,Platano seda congo,3.7,Frutas,KILOGRAMO
2923,Vainita americana,5.25,Legumbres,KILOGRAMO
2924,Lenteja,8.85,Menestras,KILOGRAMO
2925,Uva red globe,6.5,Frutas,KILOGRAMO
2926,Huevos rosados,10.45,Carnes y huevos,KILOGRAMO
2927,Naranja valencia,2.6,Frutas,KILOGRAMO
2928,Limon sutil bolsa,4.05,Frutas,KILOGRAMO
2929,Melon coquito,3.05,Frutas,KILOGRAMO
2930,Pallar,10.35,Menestras,KILOGRAMO
2931,Pina criolla,2.3,Frutas,KILOGRAMO
2932,Zapallo macre,3.35,Hortalizas,KILOGRAMO
2933,Olluco largo,3.25,Tuberculos,KILOGRAMO
2934,Yuca blanca,4.15,Tuberculos,KILOGRAMO
2935,Palta fuerte,8.5,Frutas,KILOGRAMO
2936,Fideos nicolini tallarin,6.5,Agro-industriales,KILOGRAMO
2937,Manzana delicia,5.6,Frutas,KILOGRAMO
2938,Arroz extra,4.35,Cereales,KILOGRAMO
2939,Choclo (tipo cusco),6.65,Cereales,UNIDAD
2940,Mango edward,2.35,Frutas,KILOGRAMO
2941,Azucar blanca nacional (granel),5.3,Agro-industriales,KILOGRAMO
2942,Papaya,1.65,Frutas,KILOGRAMO
2943,Leche evaporada (azul) 400 g,3.9,Agro-industriales,LATA
2944,Manzana israel,4.35,Frutas,KILOGRAMO
2945,Chirimoya cumbe,9.9,Frutas,KILOGRAMO
2946,Arroz superior,3.9,Cereales,KILOGRAMO
2947,Ajo criollo o napuri,12.35,Hortalizas,KILOGRAMO
2948,Azucar rubia nacional (granel),4.55,Agro-industriales,KILOGRAMO
2949,Zanahoria,3.4,Hortalizas,KILOGRAMO
2950,Melocoton durazno huayco,8.35,Frutas,KILOGRAMO
2951,Arveja verde blanca serrana,5.65,Legumbres,KILOGRAMO
2952,Uva italia,10.35,Frutas,KILOGRAMO
2953,Papa canchan,2.4,Tuberculos,KILOGRAMO
2954,Papa amarilla,4.9,Tuberculos,KILOGRAMO
2955,Aceite clasico botella 900 ml,10.5,Agro-industriales,LITRO
2956,Cebolla cabeza roja,2.45,Hortalizas,KILOGRAMO
2957,Camote morado,2.4,Tuberculos,KILOGRAMO
2958,Platano bellaco,3.2,Frutas,LITRO
2959,Carne de porcino (corte unico),20.0,Carnes y huevos,KILOGRAMO
2960,Leche fresca,3.9,Agro-industriales,LITRO
2961,Uva alfonso lavalett,7.4,Frutas,KILOGRAMO
2962,Aji escabeche,3.15,Hortalizas,MALLA
2963,Aji rocoto,3.4,Hortalizas,KILOGRAMO
2964,Carne fresca de vacuno,19.5,Carnes y huevos,KILOGRAMO
2965,Tomate,4.9,Hortalizas,KILOGRAMO
2966,Carne de pollo (eviscerado),10.9,Carnes y huevos,KILOGRAMO
2967,Sandia,2.15,Frutas,KILOGRAMO
2968,Frijol canario,9.9,Menestras,KILOGRAMO
